system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00056] PathFindOnPath found: C:\Windows\system32\d3d9.dll
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17401] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17403] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17405] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17407] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17409] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17411] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17412] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17414] Samples: 0
display  D   display_settings.c:486  _al_score_display_settings       [   0.17416] Score is : 1987
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17417] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17419] Decoding visual no. 8...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17427] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17430] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17432] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17433] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17435] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17437] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17438] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17440] Samples: 0
display  D   display_settings.c:486  _al_score_display_settings       [   0.17442] Score is : 1987
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17443] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17445] Decoding visual no. 9...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17453] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17455] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17457] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17459] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17460] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17462] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17464] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17466] Samples: 0
display  D   display_settings.c:486  _al_score_display_settings       [   0.17467] Score is : 1987
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17469] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17471] Decoding visual no. 10...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17479] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17481] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17483] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17485] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17486] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17488] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17490] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17491] Samples: 0
display  D   display_settings.c:486  _al_score_display_settings       [   0.17493] Score is : 1987
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17495] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17496] Decoding visual no. 11...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17505] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17507] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17509] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17511] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17512] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17514] Depth buffer: 0 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17516] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17518] Samples: 0
display  D   display_settings.c:486  _al_score_display_settings       [   0.17519] Score is : 2049
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17521] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17522] Decoding visual no. 12...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17530] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17533] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17534] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17536] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17538] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17539] Depth buffer: 0 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17541] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17543] Samples: 0
display  D   display_settings.c:486  _al_score_display_settings       [   0.17544] Score is : 2049
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17546] -- 
